GKZ11;GKZ12;GKZ13;GKZ15;GKZ16;POP20150101e
10101 Eisenstadt;10101 Eisenstadt;10101 Eisenstadt;10101 Eisenstadt;10101 Eisenstadt;13664
10201 Rust;10201 Rust;10201 Rust;10201 Rust;10201 Rust;1929
10301 Breitenbrunn am Neusiedler See;10301 Breitenbrunn am Neusiedler See;10301 Breitenbrunn am Neusiedler See;10301 Breitenbrunn am Neusiedler See;10301 Breitenbrunn am Neusiedler See;1910
10302 Donnerskirchen;10302 Donnerskirchen;10302 Donnerskirchen;10302 Donnerskirchen;10302 Donnerskirchen;1739
10303 Großhöflein;10303 Großhöflein;10303 Großhöflein;10303 Großhöflein;10303 Großhöflein;2048
10304 Hornstein;10304 Hornstein;10304 Hornstein;10304 Hornstein;10304 Hornstein;2859
10305 Klingenbach;10305 Klingenbach;10305 Klingenbach;10305 Klingenbach;10305 Klingenbach;1177
10306 Leithaprodersdorf;10306 Leithaprodersdorf;10306 Leithaprodersdorf;10306 Leithaprodersdorf;10306 Leithaprodersdorf;1173
10307 Mörbisch am See;10307 Mörbisch am See;10307 Mörbisch am See;10307 Mörbisch am See;10307 Mörbisch am See;2261
10308 Müllendorf;10308 Müllendorf;10308 Müllendorf;10308 Müllendorf;10308 Müllendorf;1375
10309 Neufeld an der Leitha;10309 Neufeld an der Leitha;10309 Neufeld an der Leitha;10309 Neufeld an der Leitha;10309 Neufeld an der Leitha;3253
10310 Oggau am Neusiedler See;10310 Oggau am Neusiedler See;10310 Oggau am Neusiedler See;10310 Oggau am Neusiedler See;10310 Oggau am Neusiedler See;1762
10311 Oslip;10311 Oslip;10311 Oslip;10311 Oslip;10311 Oslip;1265
10312 Purbach am Neusiedler See;10312 Purbach am Neusiedler See;10312 Purbach am Neusiedler See;10312 Purbach am Neusiedler See;10312 Purbach am Neusiedler See;2754
10313 Sankt Margarethen im Burgenland;10313 Sankt Margarethen im Burgenland;10313 Sankt Margarethen im Burgenland;10313 Sankt Margarethen im Burgenland;10313 Sankt Margarethen im Burgenland;2682
10314 Schützen am Gebirge;10314 Schützen am Gebirge;10314 Schützen am Gebirge;10314 Schützen am Gebirge;10314 Schützen am Gebirge;1383
10315 Siegendorf;10315 Siegendorf;10315 Siegendorf;10315 Siegendorf;10315 Siegendorf;2974
10316 Steinbrunn;10316 Steinbrunn;10316 Steinbrunn;10316 Steinbrunn;10316 Steinbrunn;2498
10317 Trausdorf an der Wulka;10317 Trausdorf an der Wulka;10317 Trausdorf an der Wulka;10317 Trausdorf an der Wulka;10317 Trausdorf an der Wulka;1999
10318 Wimpassing an der Leitha;10318 Wimpassing an der Leitha;10318 Wimpassing an der Leitha;10318 Wimpassing an der Leitha;10318 Wimpassing an der Leitha;1412
10319 Wulkaprodersdorf;10319 Wulkaprodersdorf;10319 Wulkaprodersdorf;10319 Wulkaprodersdorf;10319 Wulkaprodersdorf;1895
10320 Loretto;10320 Loretto;10320 Loretto;10320 Loretto;10320 Loretto;467
10321 Stotzing;10321 Stotzing;10321 Stotzing;10321 Stotzing;10321 Stotzing;836
10322 Zillingtal;10322 Zillingtal;10322 Zillingtal;10322 Zillingtal;10322 Zillingtal;928
10323 Zagersdorf;10323 Zagersdorf;10323 Zagersdorf;10323 Zagersdorf;10323 Zagersdorf;999
10401 Bocksdorf;10401 Bocksdorf;10401 Bocksdorf;10401 Bocksdorf;10401 Bocksdorf;805
10402 Burgauberg-Neudauberg;10402 Burgauberg-Neudauberg;10402 Burgauberg-Neudauberg;10402 Burgauberg-Neudauberg;10402 Burgauberg-Neudauberg;1382
10403 Eberau;10403 Eberau;10403 Eberau;10403 Eberau;10403 Eberau;928
10404 Gerersdorf-Sulz;10404 Gerersdorf-Sulz;10404 Gerersdorf-Sulz;10404 Gerersdorf-Sulz;10404 Gerersdorf-Sulz;1018
10405 Güssing;10405 Güssing;10405 Güssing;10405 Güssing;10405 Güssing;3713
10406 Güttenbach;10406 Güttenbach;10406 Güttenbach;10406 Güttenbach;10406 Güttenbach;914
10407 Heiligenbrunn;10407 Heiligenbrunn;10407 Heiligenbrunn;10407 Heiligenbrunn;10407 Heiligenbrunn;814
10408 Kukmirn;10408 Kukmirn;10408 Kukmirn;10408 Kukmirn;10408 Kukmirn;2029
10409 Neuberg im Burgenland;10409 Neuberg im Burgenland;10409 Neuberg im Burgenland;10409 Neuberg im Burgenland;10409 Neuberg im Burgenland;966
10410 Neustift bei Güssing;10410 Neustift bei Güssing;10410 Neustift bei Güssing;10410 Neustift bei Güssing;10410 Neustift bei Güssing;489
10411 Olbendorf;10411 Olbendorf;10411 Olbendorf;10411 Olbendorf;10411 Olbendorf;1462
10412 Ollersdorf im Burgenland;10412 Ollersdorf im Burgenland;10412 Ollersdorf im Burgenland;10412 Ollersdorf im Burgenland;10412 Ollersdorf im Burgenland;994
10413 Sankt Michael im Burgenland;10413 Sankt Michael im Burgenland;10413 Sankt Michael im Burgenland;10413 Sankt Michael im Burgenland;10413 Sankt Michael im Burgenland;995
10414 Stegersbach;10414 Stegersbach;10414 Stegersbach;10414 Stegersbach;10414 Stegersbach;2550
10415 Stinatz;10415 Stinatz;10415 Stinatz;10415 Stinatz;10415 Stinatz;1333
10416 Strem;10416 Strem;10416 Strem;10416 Strem;10416 Strem;927
10417 Tobaj;10417 Tobaj;10417 Tobaj;10417 Tobaj;10417 Tobaj;1434
10418 Hackerberg;10418 Hackerberg;10418 Hackerberg;10418 Hackerberg;10418 Hackerberg;359
10419 Wörterberg;10419 Wörterberg;10419 Wörterberg;10419 Wörterberg;10419 Wörterberg;485
10420 Großmürbisch;10420 Großmürbisch;10420 Großmürbisch;10420 Großmürbisch;10420 Großmürbisch;248
10421 Inzenhof;10421 Inzenhof;10421 Inzenhof;10421 Inzenhof;10421 Inzenhof;340
10422 Kleinmürbisch;10422 Kleinmürbisch;10422 Kleinmürbisch;10422 Kleinmürbisch;10422 Kleinmürbisch;244
10423 Tschanigraben;10423 Tschanigraben;10423 Tschanigraben;10423 Tschanigraben;10423 Tschanigraben;58
10424 Heugraben;10424 Heugraben;10424 Heugraben;10424 Heugraben;10424 Heugraben;208
10425 Rohr im Burgenland;10425 Rohr im Burgenland;10425 Rohr im Burgenland;10425 Rohr im Burgenland;10425 Rohr im Burgenland;376
10426 Bildein;10426 Bildein;10426 Bildein;10426 Bildein;10426 Bildein;340
10427 Rauchwart;10427 Rauchwart;10427 Rauchwart;10427 Rauchwart;10427 Rauchwart;443
10428 Moschendorf;10428 Moschendorf;10428 Moschendorf;10428 Moschendorf;10428 Moschendorf;418
10501 Deutsch Kaltenbrunn;10501 Deutsch Kaltenbrunn;10501 Deutsch Kaltenbrunn;10501 Deutsch Kaltenbrunn;10501 Deutsch Kaltenbrunn;1699
10502 Eltendorf;10502 Eltendorf;10502 Eltendorf;10502 Eltendorf;10502 Eltendorf;952
10503 Heiligenkreuz im Lafnitztal;10503 Heiligenkreuz im Lafnitztal;10503 Heiligenkreuz im Lafnitztal;10503 Heiligenkreuz im Lafnitztal;10503 Heiligenkreuz im Lafnitztal;1236
10504 Jennersdorf;10504 Jennersdorf;10504 Jennersdorf;10504 Jennersdorf;10504 Jennersdorf;4078
10505 Minihof-Liebau;10505 Minihof-Liebau;10505 Minihof-Liebau;10505 Minihof-Liebau;10505 Minihof-Liebau;1082
10506 Mogersdorf;10506 Mogersdorf;10506 Mogersdorf;10506 Mogersdorf;10506 Mogersdorf;1154
10507 Neuhaus am Klausenbach;10507 Neuhaus am Klausenbach;10507 Neuhaus am Klausenbach;10507 Neuhaus am Klausenbach;10507 Neuhaus am Klausenbach;952
10508 Rudersdorf;10508 Rudersdorf;10508 Rudersdorf;10508 Rudersdorf;10508 Rudersdorf;2177
10509 Sankt Martin an der Raab;10509 Sankt Martin an der Raab;10509 Sankt Martin an der Raab;10509 Sankt Martin an der Raab;10509 Sankt Martin an der Raab;2018
10510 Weichselbaum;10510 Weichselbaum;10510 Weichselbaum;10510 Weichselbaum;10510 Weichselbaum;744
10511 Königsdorf;10511 Königsdorf;10511 Königsdorf;10511 Königsdorf;10511 Königsdorf;720
10512 Mühlgraben;10512 Mühlgraben;10512 Mühlgraben;10512 Mühlgraben;10512 Mühlgraben;403
10601 Draßburg;10601 Draßburg;10601 Draßburg;10601 Draßburg;10601 Draßburg;1193
10602 Forchtenstein;10602 Forchtenstein;10602 Forchtenstein;10602 Forchtenstein;10602 Forchtenstein;2781
10603 Hirm;10603 Hirm;10603 Hirm;10603 Hirm;10603 Hirm;956
10604 Loipersbach im Burgenland;10604 Loipersbach im Burgenland;10604 Loipersbach im Burgenland;10604 Loipersbach im Burgenland;10604 Loipersbach im Burgenland;1221
10605 Marz;10605 Marz;10605 Marz;10605 Marz;10605 Marz;2050
10606 Mattersburg;10606 Mattersburg;10606 Mattersburg;10606 Mattersburg;10606 Mattersburg;7182
10607 Neudörfl;10607 Neudörfl;10607 Neudörfl;10607 Neudörfl;10607 Neudörfl;4381
10608 Pöttelsdorf;10608 Pöttelsdorf;10608 Pöttelsdorf;10608 Pöttelsdorf;10608 Pöttelsdorf;713
10609 Pöttsching;10609 Pöttsching;10609 Pöttsching;10609 Pöttsching;10609 Pöttsching;2896
10610 Rohrbach bei Mattersburg;10610 Rohrbach bei Mattersburg;10610 Rohrbach bei Mattersburg;10610 Rohrbach bei Mattersburg;10610 Rohrbach bei Mattersburg;2720
10611 Bad Sauerbrunn;10611 Bad Sauerbrunn;10611 Bad Sauerbrunn;10611 Bad Sauerbrunn;10611 Bad Sauerbrunn;2158
10612 Schattendorf;10612 Schattendorf;10612 Schattendorf;10612 Schattendorf;10612 Schattendorf;2401
10613 Sieggraben;10613 Sieggraben;10613 Sieggraben;10613 Sieggraben;10613 Sieggraben;1269
10614 Sigleß;10614 Sigleß;10614 Sigleß;10614 Sigleß;10614 Sigleß;1189
10615 Wiesen;10615 Wiesen;10615 Wiesen;10615 Wiesen;10615 Wiesen;2718
10616 Antau;10616 Antau;10616 Antau;10616 Antau;10616 Antau;763
10617 Baumgarten;10617 Baumgarten;10617 Baumgarten;10617 Baumgarten;10617 Baumgarten;873
10618 Zemendorf-Stöttera;10618 Zemendorf-Stöttera;10618 Zemendorf-Stöttera;10618 Zemendorf-Stöttera;10618 Zemendorf-Stöttera;1287
10619 Krensdorf;10619 Krensdorf;10619 Krensdorf;10619 Krensdorf;10619 Krensdorf;613
10701 Andau;10701 Andau;10701 Andau;10701 Andau;10701 Andau;2333
10702 Apetlon;10702 Apetlon;10702 Apetlon;10702 Apetlon;10702 Apetlon;1774
10703 Bruckneudorf;10703 Bruckneudorf;10703 Bruckneudorf;10703 Bruckneudorf;10703 Bruckneudorf;2956
10704 Deutsch Jahrndorf;10704 Deutsch Jahrndorf;10704 Deutsch Jahrndorf;10704 Deutsch Jahrndorf;10704 Deutsch Jahrndorf;606
10705 Frauenkirchen;10705 Frauenkirchen;10705 Frauenkirchen;10705 Frauenkirchen;10705 Frauenkirchen;2831
10706 Gattendorf;10706 Gattendorf;10706 Gattendorf;10706 Gattendorf;10706 Gattendorf;1280
10707 Gols;10707 Gols;10707 Gols;10707 Gols;10707 Gols;3772
10708 Halbturn;10708 Halbturn;10708 Halbturn;10708 Halbturn;10708 Halbturn;1881
10709 Illmitz;10709 Illmitz;10709 Illmitz;10709 Illmitz;10709 Illmitz;2351
10710 Jois;10710 Jois;10710 Jois;10710 Jois;10710 Jois;1526
